name,city,district,traffic,longitude,latitude
BOISSIERE,Paris,16,2150445,48.8670270457182,2.29047384540453
MAISON BLANCHE,Paris,13,2122847,48.8226203194274,2.35818867672494
JASMIN,Paris,16,2115456,48.8523396005309,2.26790681383725
MICHEL-ANGE-MOLITOR,Paris,16,2097256,48.844867436543,2.26204786419272
MAISONS-ALFORT-LES JUILLIOTTES,Maisons -Alfort,,2085806,48.8031418697523,2.44499102669377
NOTRE-DAME-DES-CHAMPS,Paris,6,2077450,48.8449178498434,2.32885296806704
SAINT-JACQUES,Paris,13,2070465,48.8332522883745,2.33622001540028
EXELMANS,Paris,16,2060188,48.8424273379119,2.25973661579821
BREGUET-SABIN,Paris,11,2038531,48.8565162145681,2.3709371333348
MICHEL BIZOT,Paris,12,2038450,48.8367033669766,2.40296916119538
MABILLON,Paris,6,1980247,48.8528181349058,2.33540928887416
BUZENVAL,Paris,20,1914564,48.8517360615634,2.40102482535231
AVRON,Paris,11,1907820,48.8509782113622,2.39798013009568
FELIX FAURE,Paris,15,1895590,48.8429772288922,2.29199788779218
SAINT MANDE,Paris,15,1895590,48.8462977572576,2.41867310093048
MALAKOFF-RUE ETIENNE DOLET,Malakoff,,1881782,48.8146679725106,2.29699896350216
PHILIPPE AUGUSTE,Paris,11,1876528,48.8583654720925,2.38938739145325
PORTE D'IVRY,Paris,13,1868796,48.8212704974684,2.36909494347048
MONTGALLET,Paris,12,1864016,48.8442504626131,2.38980213751236
SAINT-MARCEL,Paris,13,1853989,48.8395141857768,2.36140877914038
SAINT-FRANCOIS-XAVIER,Paris,7,1837976,48.8518632147979,2.31403452688812
RASPAIL,Paris,14,1836323,48.8389637143162,2.33058309684112
FILLES DU CALVAIRE,Paris,3,1784167,48.8633028923386,2.36645313804373
SAINT-SEBASTIEN-FROISSART,Paris,3,1783783,48.8612805878047,2.36702409525746
RICHARD LENOIR,Paris,11,1767814,48.8608927535125,2.3720977804711
QUATRE-9EMBRE,Paris,2,1758632,48.8693729306069,2.33574247484458
CARDINAL LEMOINE,Paris,5,1715926,48.8463912485782,2.35147807315592
LIEGE,Paris,8,1712165,48.8795640572124,2.32651728518985
MAISONS-ALFORT-STADE,Maisons-Alfort,,1689344,48.8084176209203,2.43558220356454
MOUTON-DUVERNET,Paris,14,1688932,48.8313196995984,2.32942693483694
